timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
715,55.763857662677765,12.558915317058563,1862.34,2.622,17.6,175,82,22,0.0
716,55.7638818025589,12.558917831629515,1865.03,2.622,17.6,175,82,22,0.5
724,55.764067713171244,12.558940127491951,1885.79,2.631,18.0,177,82,22,0.0
725,55.7640871591866,12.558942893519998,1887.96,2.631,18.0,178,82,22,0.0
733,55.764267621561885,12.558953119441867,1908.13,2.613,18.2,175,82,21,0.0
737,55.76437147334218,12.558955634012818,1919.69,2.603,18.6,176,82,22,0.5
743,55.76452922075987,12.559004249051213,1937.53,2.613,19.0,175,83,22,0.0
745,55.76458361931145,12.558998465538025,1943.63,2.622,19.2,176,83,21,0.5
746,55.764606669545174,12.559003997594118,1946.21,2.622,19.2,176,83,22,0.5
753,55.76477606780827,12.55901724100113,1965.08,2.641,20.0,175,81,21,0.0
755,55.764823677018285,12.55902118049562,1970.39,2.65,20.4,175,81,21,0.0
757,55.764874974265695,12.559025874361396,1976.11,2.65,20.4,175,81,21,0.0
765,55.7650628965348,12.559053115546703,1997.11,2.659,20.4,174,81,21,0.0
766,55.76509156264365,12.559053115546703,2000.3,2.659,20.4,174,81,21,0.0
768,55.76514302752912,12.559054289013147,2006.03,2.659,20.6,175,82,21,0.0
775,55.765324076637626,12.559064012020826,2026.22,2.678,20.8,176,82,21,0.0
779,55.76542289927602,12.559076249599457,2037.26,2.687,21.0,177,82,21,0.0
784,55.76555357314646,12.559095192700624,2051.86,2.706,21.2,174,81,21,0.0
789,55.76567871496081,12.55910525098443,2065.83,2.725,21.4,175,82,21,0.0
795,55.76582036912441,12.559120757505298,2081.64,2.734,21.2,176,81,21,0.0
796,55.76584467664361,12.559127463027835,2084.37,2.734,21.2,177,81,21,0.0
799,55.765916761010885,12.55913844332099,2092.45,2.734,21.4,180,80,21,0.0
805,55.766056990250945,12.559146489948034,2108.13,2.725,21.8,180,80,21,0.0
806,55.766082387417555,12.559154788032174,2111.0,2.725,21.8,180,80,21,0.0
814,55.76628137379885,12.55916928872466,2133.18,2.715,21.8,179,81,21,0.0
