timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
1472,55.7556620053947,12.558383652940392,3991.42,2.893,17.6,176,81,24,0.0
1474,55.75562244281173,12.55838356912136,3995.81,2.883,17.6,176,81,24,0.0
1476,55.75557810254395,12.558374516665936,4000.74,2.883,17.4,176,81,24,0.0
1481,55.75545405037701,12.558384826406837,4014.59,2.865,17.2,175,82,25,0.0
1482,55.75543284416199,12.55838599987328,4016.94,2.855,17.2,175,82,25,0.0
1490,55.7552351988852,12.55835808813572,4038.98,2.846,17.2,175,80,25,0.5
1492,55.755180129781365,12.558345263823867,4045.17,2.846,17.0,175,80,25,0.5
1495,55.755103351548314,12.558320118114352,4053.86,2.837,16.6,175,79,25,0.0
1499,55.7550314348191,12.55832296796143,4061.82,2.809,16.6,174,80,25,0.5
1507,55.754848290234804,12.558307712897658,4082.28,2.613,15.8,173,81,25,0.0
1508,55.75481836684048,12.55829757079482,4085.67,2.613,15.8,174,82,25,0.0
1515,55.7546275947243,12.558256080374122,4107.13,2.687,15.8,175,81,25,0.0
1516,55.75460052117705,12.55825306288898,4110.14,2.687,15.8,175,83,24,0.5
1520,55.75450739823282,12.55823789164424,4120.57,2.715,15.6,173,81,25,0.0
